,AFC Wimbledon, Aberdeen, Accrington Stanley, Arsenal, Aston Villa, Barnsley, Barrow, Birmingham City, Blackburn Rovers, Blackpool, Bolton Wanderers, Bournemouth, Bradford City, Brentford, Brighton, Bristol City, Bristol Rovers, Burnley, Burton Albion, Cambridge United, Cardiff City, Carlisle United, Celtic, Charlton Athletic, Chelsea, Cheltenham Town, Colchester United, Coventry City, Crawley Town, Crewe Alexandra, Crystal Palace, Derby County, Doncaster Rovers, Dundee, Everton, Exeter City, Fleetwood Town, Forest Green Rovers, Fulham, Gillingham, Grimsby Town, Harrogate Town, Heart of Midlothian, Hibernian, Huddersfield Town, Hull City, Ipswich Town, Kilmarnock, Leeds United, Leicester City, Leyton Orient, Lincoln City, Liverpool, Livingston, Luton Town, MK Dons, Manchester City, Manchester United, Mansfield Town, Middlesbrough , Millwall, Morecambe, Motherwell, Newcastle United, Newport County, Northampton Town, Norwich City, Nottingham Forest, Notts County, Oxford United, Peterborough United, Plymouth Argyle, Port Vale, Portsmouth, Preston North End, Queens Park Rangers, Rangers, Reading, Ross County, Rotherham United, Salford City, Sheffield United, Sheffield Wednesday, Shrewsbury Town, Southampton, St Johnstone, St Mirren, Stevenage Borough, Stockport County, Stoke City, Sunderland, Sutton United, Swansea City, Swindon Town, Tottenham Hotspur, Tranmere Rovers, Walsall, Watford, West Bromwich Albion, West Ham, Wigan Athletic, Wolverhampton Wanderers, Wrexham, Wycombe Wanderers
 Brentford,,,,,M40,M1,,M40,,,,M3,M1,X,,M4,M4,,,,M4,,,,,M4,,,M25,,,,,,,M4,,M4,,,,,,,M1,,A12,,M1,,,,,,M1,M1,,,,,,,,,M4,M1,,,,,,,M40,,,,,M4,,,,,,M40,M3,,,,,M40,,,M4,M4,,,M40,,M40,,,M40,,
 Brighton,,,,,,M1,,M40,,,,,M1,,X,M4,M4,,,,M4,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,M25,,,,,,,,,,M4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Bristol City,M4,,,M4,M5,,,M5,,,,,,M4,M4,X,,,M5,M4,,,,M4,M4,M5,,M5,M4,,M4,,,,,M5,,,M4,M4,,,,,,,,,,M5,M4,,,,M4,,,,,,M4,,,,,,,,,M4,,M5,M5,,,M4,,M4,,,,,,M5,M4,,,M4,,M5,,M4,M4,M4,M4,,M5,M4,M5,M4,,M5,,M4
 Bristol Rovers,M4,,,M4,M5,,,M5,,,,,,M4,M4,,X,,M5,M4,M4,,,M4,M4,M5,,M5,M4,,M4,,,,,M5,,,M4,M4,,,,,,,,,,M5,M4,,,,M4,,,,,,M4,,,,M4,,,,,M4,,M5,M5,,,M4,,M4,,,,,,M5,M4,,,M4,,M5,,M4,M4,M4,M4,,M5,M4,M5,M4,,M5,,M4
 Burnley,,,,,M6,,,M6,M65,,M65,,,,,,,X,,,,M6,,,,,,,,,,,M62,,,M5,,,,,,,,,,M62,,,M62,,,,,,,,,,,,,,,,,,,,,,,M5,,,M65,,,,,,,,,,,,,,,,,,,,,,M6,,M6,,,M6,,
 Burton Albion,,,,,,M1,,,M6,,,,M1,,,M5,M5,,X,A14,,,,M1,M1,,,,M1,,M1,,,,,M5,M6,,M1,M1,,,,,M1,,,,M1,,M1,,,,M1,M1,,,,,M1,M6,,,,M1,,,,,,M5,,,M6,M1,,,,,,,,,,,,M1,,,,M1,,,M1,,,M1,,M1,M6,,,M40
 Cambridge United,M11,,,M11,A14,,,A14,,,,,,,,M4,M4,,A14,X,,,,,,,A14,A14,,,,A14,A1,,,M5,M6,,,,,,,,,,A14,,,A14,,,,,,,,,,,,M6,,,,,,,,,,,,,M6,,,,,,,,,,,,,,,,,,,,,,A14,,A14,,,A14,,
 Cardiff City,M4,,,M4,,,,,,,,,,M4,M4,,M4,,,,X,,,M4,M4,,M4,,M4,,M4,,,,,M5,,M4,M4,M4,,,,,,,M4,,,,M4,,,,M4,M4,,,,,M4,,,,M4,M4,,,,M4,,,,M4,,M4,,M4,,,,,,,M4,,,M4,,,,M4,M4,M4,M4,,,M4,,M4,,,,M4
 Carlisle United,,,M6,,M6,,M6,M6,M6,M6,M6,,,,,,,M6,,,,X,A74(M),,,,,,,M6,,,,,M6,,M6,,,,,,,,M6,,,,,,,,M6,A74(M),,,M6,M6,,A66,,M6,A74(M),,,,,,,,,,M6,,M6,,A74(M),,,,M6,,,,,,,,M6,M6,,,,,,M6,,,,,M6,,M6,
 Celtic,,,,,,,,,,,,,,,,,,,,,,A74(M),X,,,,,,,,,,,,,,,,,,,,,,,,,M77,,,,,,,,,,,,,,,M74,,,,,,,,,,,,M6,,,,,,,,,,,,M8,,,,,,,,,,,,,,,,,
